# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	17159
#@/user_id	e20759ef-d2df-41e6-b751-89c12cbdc2a3
a 	啊	c=0 d=0.1 t=14294
di ceng 	底層	c=1 d=1 t=1854
di chu 	地處	c=1 d=1 t=10562
di er 	第二	c=1 d=1.00139 t=9278
di er duan 	第二段	c=3 d=2.87888 t=8438
di er zhang 	第二章	c=1 d=1 t=2933
di er zhong 	第二種	c=1 d=1 t=7446
di fang 	地方	c=2 d=0.054204 t=17159
di jian 	遞減	c=1 d=1 t=6998
di san 	第三	c=1 d=1 t=9279
di san fang 	第三方	c=2 d=1.00282 t=15668
di san zhang 	第三章	c=1 d=1 t=2929
di shang 	地上	c=1 d=1 t=14436
di yi 	第一	c=0 d=0.0491644 t=17159
di yi ci 	第一次	c=1 d=1 t=10916
di yi duan 	第一段	c=3 d=2.90752 t=8436
di yi ge 	第一個	c=4 d=2.9148 t=15314
di yi zhang 	第一章	c=3 d=1.02171 t=15049
di yi zhen 	第一幀	c=2 d=1.00838 t=17159
di yi zhong 	第一種	c=1 d=1 t=7444
di zeng 	遞增	c=1 d=1 t=6996
di zhi 	地址	c=12 d=0.276525 t=17159
dian 	點	c=2 d=0.914647 t=15782
dian nao 	電腦	c=13 d=1 t=17157
dian nao shang 	電腦上	c=1 d=1 t=6044
dian ran 	點燃	c=1 d=1 t=9789
dian ti 	電梯	c=3 d=2.92644 t=9256
diao 	掉	c=1 d=1 t=14435
diao chu 	調出	c=1 d=1 t=7131
diao jiao lou 	吊腳樓	c=5 d=1.76349 t=10602
diao su jia 	雕塑家	c=1 d=1 t=11408
diao yong 	調用	c=18 d=1.56437 t=17159
ding bu 	頂部	c=1 d=1 t=12854
ding dan 	訂單	c=2 d=1.4966 t=13157
ding dan bu 	訂單簿	c=2 d=1.2865 t=13400
ding shi 	定時	c=1 d=1 t=3330
ding wei 	定位	c=1 d=1 t=14546
ding yi 	定義	c=20 d=1.00016 t=15374
ding yue 	訂閱	c=1 d=0.185444 t=17159
ding zhi 	定製	c=1 d=1 t=9346
diu shi 	丟失	c=1 d=1 t=6372
dong 	懂	c=1 d=1 t=16262
dong hua 	動畫	c=1 d=1 t=16923
dong liang 	動量	c=1 d=1 t=9788
dong liang 	棟樑	c=1 d=1 t=9787
dong tai 	動態	c=3 d=0.357523 t=17159
dong tai ku 	動態庫	c=7 d=3.18152 t=16845
dong tai lu you 	動態路由	c=1 d=1 t=5313
dong ti 	胴體	c=0 d=0.1 t=14294
dong ti a ku 	胴體啊庫	c=1 d=1 t=14295
dong zuo 	動作	c=1 d=1 t=6171
dou 	都	c=36 d=0.462183 t=17159
dou bu jian 	都不見	c=1 d=1 t=6360
dou neng 	都能	c=3 d=0.778801 t=17159
dou qiao 	陡峭	c=1 d=1 t=1561
dou shi 	都是	c=11 d=1.39653 t=14105
dou yong 	都用	c=1 d=1 t=10055
du 	讀	c=1 d=1 t=12359
du li 	獨立	c=11 d=1 t=14626
du qu 	讀取	c=6 d=1.0006 t=13957
du te xing 	獨特性	c=1 d=1 t=8223
duan 	段	c=2 d=1 t=13699
duan dian 	斷點	c=1 d=1 t=2672
duan kou 	端口	c=4 d=1.51502 t=5775
duan kou hao 	端口號	c=1 d=1 t=5908
duan luo 	段落	c=1 d=1 t=4001
dui 	對	c=38 d=1.75439 t=17159
dui bi 	對比	c=2 d=1.97045 t=2544
dui bu dui 	對不對	c=1 d=1 t=16003
dui chen 	對稱	c=1 d=1 t=6551
dui chong 	對衝	c=1 d=1 t=2639
dui de 	對的	c=1 d=1 t=2507
dui le 	對了	c=1 d=1 t=5962
dui lie 	隊列	c=0 d=0.1 t=3340
dui ma 	對嗎	c=4 d=0.00236968 t=17159
dui qi 	對其	c=1 d=1 t=6244
dui qi 	對齊	c=2 d=1.7788 t=7727
dui shu 	對數	c=1 d=1 t=15681
dui wai 	對外	c=5 d=4.8678 t=10577
dui wo 	對我	c=1 d=1 t=13661
dui xiang 	對象	c=23 d=0.214381 t=17159
dui ying 	對應	c=5 d=1 t=15852
dui yu 	對於	c=8 d=0.304221 t=17159
dui yu ta 	對於它	c=1 d=1 t=1964
dun dong 	噸動	c=1 d=1 t=2730
dun hao 	頓號	c=1 d=0.941765 t=17159
duo 	多	c=3 d=1.04666 t=6028
duo chong 	多重	c=0 d=0.1 t=7942
duo chong gong xian 	多重共線	c=1 d=1 t=7943
duo ge 	多個	c=12 d=1 t=15336
duo hang 	多行	c=1 d=1 t=1817
duo ji 	多級	c=1 d=1 t=16105
duo jin cheng 	多進程	c=4 d=1.42912 t=3269
duo jiu 	多久	c=1 d=1 t=2841
duo shao 	多少	c=1 d=1 t=11844
duo shao ge 	多少個	c=1 d=0.634448 t=17159
duo tai 	多臺	c=4 d=1 t=14351
duo yin zi 	多因子	c=1 d=1 t=4024
er 	二	c=5 d=0.13544 t=17159
er 	而	c=5 d=1.99082 t=9223
er bu shi 	而不是	c=5 d=1 t=16458
er ji 	耳機	c=1 d=1 t=14015
er jin zhi 	二進制	c=6 d=1.91397 t=16741
er qie 	而且	c=5 d=1 t=15596
er shi 	二十	c=4 d=0.0418212 t=17159
er shi 	兒時	c=1 d=1 t=10623
er shi 	而是	c=6 d=1 t=17148
er tong 	兒童	c=2 d=1.98511 t=5421
er xuan yi 	二選一	c=1 d=1 t=1924
er yi 	而已	c=1 d=1 t=15810
er yuan 	二元	c=1 d=1 t=16704
fa 	法	c=7 d=1.17033 t=8974
fa 	發	c=3 d=0.860708 t=17159
fa bu 	發佈	c=3 d=1.47237 t=14527
fa chu 	發出	c=1 d=1 t=1399
fa dan 	發單	c=1 d=0.831104 t=17159
fa gei 	發給	c=1 d=1 t=4921
fa guang 	發光	c=3 d=2.80067 t=1913
fa sheng 	發生	c=1 d=1 t=12681
fa sheng le 	發生了	c=1 d=1 t=2802
fa song 	發送	c=11 d=1 t=16664
fa xian 	發現	c=9 d=0.653972 t=17159
fa zhan 	發展	c=2 d=1.94649 t=14113
fan chou 	範疇	c=1 d=1 t=3597
fan fu 	反覆	c=2 d=1.94649 t=10930
fan hui 	返回	c=4 d=1.00043 t=6980
fan shi 	凡是	c=4 d=0.00100779 t=17159
fan ti zi 	繁體字	c=1 d=0.00115345 t=17159
fan wei 	範圍	c=2 d=1 t=11530
fan xian 	范縣	c=1 d=1 t=15454
fan xiang 	反向	c=5 d=1.96079 t=8580
fan xiang dai li 	反向代理	c=1 d=1 t=1498
fan xing 	泛型	c=1 d=1 t=6509
fan yi 	翻譯	c=11 d=1 t=15251
fan yi cheng 	翻譯成	c=1 d=1 t=14454
fan ying 	反應	c=1 d=1 t=4383
fan zheng 	反正	c=1 d=1 t=15775
fan zhuan 	反轉	c=1 d=1 t=1688
fang 	放	c=1 d=1 t=1632
fang an 	方案	c=5 d=0.00166989 t=17159
fang bian 	方便	c=1 d=1 t=14647
fang cha 	方差	c=3 d=0.418385 t=17159
fang dao 	放到	c=4 d=1 t=16425
fang fa 	方法	c=31 d=1.0028 t=17101
fang fo 	彷彿	c=1 d=1 t=2801
fang jian 	房間	c=2 d=1.03422 t=9928
fang jin 	放進	c=2 d=1.9802 t=6179
fang ru 	放入	c=1 d=1 t=2611
fang shi 	方式	c=16 d=0.129802 t=17159
fang wen 	訪問	c=12 d=0.513138 t=17159
fang wen xin 	訪問新	c=1 d=0.23457 t=17159
fang wu 	房屋	c=4 d=2.03317 t=9254
fang xiang jian 	方向鍵	c=3 d=2.75523 t=17018
fang xin 	放心	c=1 d=1 t=11853
fang zai 	放在	c=9 d=0.29671 t=17159
fang zheng 	方正	c=1 d=1 t=11222
fang zheng xian 	方正縣	c=2 d=1.40454 t=11407
fang zhi 	放置	c=5 d=0.0156858 t=17159
fei 	非	c=8 d=0.171187 t=17159
fei chang 	非常	c=2 d=0.00129402 t=17159
fei chang man 	非常慢	c=1 d=1 t=6881
fei ji 	飛機	c=0 d=0.1 t=1761
fei lv 	費率	c=1 d=1 t=2871
fen 	份	c=1 d=1 t=11987
fen 	分	c=1 d=1.00142 t=16676
fen bie 	分別	c=31 d=0.434664 t=17159
fen bu 	分佈	c=3 d=1.00002 t=15678
fen bu dao 	分不到	c=1 d=1 t=5915
fen bu qu xian 	分佈曲線	c=1 d=1 t=13309
fen bu shi 	分佈式	c=2 d=1.98511 t=7904
fen bu tu 	分佈圖	c=2 d=1.57695 t=13411
fen cheng 	分成	c=1 d=1 t=16019
fen ge 	分隔	c=3 d=0.00937227 t=17159
fen ge fu 	分隔符	c=2 d=0.528491 t=17159
fen kai 	分開	c=1 d=1 t=6534
fen lei 	分類	c=8 d=0.889944 t=17159
fen li 	分離	c=1 d=1 t=7150
fen mu 	分母	c=1 d=1 t=8851
